"GEO_ID","id"
"S0502_C01_037E","Estimate!!Total!!MARITAL STATUS!!Population 15  years and over"
"S0502_C01_037M","Margin of Error!!Total!!MARITAL STATUS!!Population 15  years and over"
"S0502_C01_038E","Estimate!!Total!!MARITAL STATUS!!Population 15  years and over!!Never married"
"S0502_C01_038M","Margin of Error!!Total!!MARITAL STATUS!!Population 15  years and over!!Never married"
"S0502_C01_039E","Estimate!!Total!!MARITAL STATUS!!Population 15  years and over!!Now married, except separated"
"S0502_C01_039M","Margin of Error!!Total!!MARITAL STATUS!!Population 15  years and over!!Now married, except separated"
"S0502_C01_040E","Estimate!!Total!!MARITAL STATUS!!Population 15  years and over!!Divorced or separated"
"S0502_C01_040M","Margin of Error!!Total!!MARITAL STATUS!!Population 15  years and over!!Divorced or separated"
"S0502_C01_041E","Estimate!!Total!!MARITAL STATUS!!Population 15  years and over!!Widowed"
"S0502_C01_041M","Margin of Error!!Total!!MARITAL STATUS!!Population 15  years and over!!Widowed"
"S0502_C01_042E","Estimate!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school"
"S0502_C01_042M","Margin of Error!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school"
"S0502_C01_043E","Estimate!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool"
"S0502_C01_043M","Margin of Error!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool"
"S0502_C01_044E","Estimate!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades K-8)"
"S0502_C01_044M","Margin of Error!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades K-8)"
"S0502_C01_045E","Estimate!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)"
"S0502_C01_045M","Margin of Error!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)"
"S0502_C01_046E","Estimate!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school"
"S0502_C01_046M","Margin of Error!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school"
"S0502_C01_047E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S0502_C01_047M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S0502_C01_048E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S0502_C01_048M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S0502_C01_049E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S0502_C01_049M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S0502_C01_050E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree"
"S0502_C01_050M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree"
"S0502_C01_051E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree"
"S0502_C01_051M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree"
"S0502_C01_052E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree"
"S0502_C01_052M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree"
"S0502_C01_053E","Estimate!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over"
"S0502_C01_053M","Margin of Error!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over"
"S0502_C01_054E","Estimate!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!English only"
"S0502_C01_054M","Margin of Error!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!English only"
"S0502_C01_055E","Estimate!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Language other than English"
"S0502_C01_055M","Margin of Error!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Language other than English"
"S0502_C01_056E","Estimate!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Language other than English!!Speak English less than "very well""
"S0502_C01_056M","Margin of Error!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Language other than English!!Speak English less than "very well""
"S0502_C01_057E","Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over"
"S0502_C01_057M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Population 16 years and over"
"S0502_C01_058E","Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force"
"S0502_C01_058M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force"
"S0502_C01_059E","Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force"
"S0502_C01_059M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force"
"S0502_C01_060E","Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed"
"S0502_C01_060M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed"
"S0502_C01_061E","Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed"
"S0502_C01_061M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed"
"S0502_C01_062E","Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed!!Percent of civilian labor force"
"S0502_C01_062M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed!!Percent of civilian labor force"
"S0502_C01_063E","Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces"
"S0502_C01_063M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces"
"S0502_C01_064E","Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force"
"S0502_C01_064M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force"
"S0502_C01_065E","Estimate!!Total!!Civilian employed population 16 years and over"
"S0502_C01_065M","Margin of Error!!Total!!Civilian employed population 16 years and over"
"S0502_C01_066E","Estimate!!Total!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Private wage and salary workers"
"S0502_C01_066M","Margin of Error!!Total!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Private wage and salary workers"
"S0502_C01_067E","Estimate!!Total!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Government workers"
"S0502_C01_067M","Margin of Error!!Total!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Government workers"
"S0502_C01_068E","Estimate!!Total!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Self-employed workers in own not incorporated business"
"S0502_C01_068M","Margin of Error!!Total!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Self-employed workers in own not incorporated business"
"S0502_C01_069E","Estimate!!Total!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Unpaid family workers"
"S0502_C01_069M","Margin of Error!!Total!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Unpaid family workers"
"S0502_C01_070E","Estimate!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Management, business, science, and arts occupations"
"S0502_C01_070M","Margin of Error!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Management, business, science, and arts occupations"
"S0502_C01_071E","Estimate!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Service occupations"
"S0502_C01_071M","Margin of Error!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Service occupations"
"S0502_C01_072E","Estimate!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Sales and office occupations"
"S0502_C01_072M","Margin of Error!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Sales and office occupations"
"S0502_C01_073E","Estimate!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Natural resources, construction, and maintenance occupations"
"S0502_C01_073M","Margin of Error!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Natural resources, construction, and maintenance occupations"
"S0502_C01_074E","Estimate!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Production, transportation, and material moving occupations"
"S0502_C01_074M","Margin of Error!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Production, transportation, and material moving occupations"
"S0502_C01_075E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining"
"S0502_C01_075M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining"
"S0502_C01_076E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Construction"
"S0502_C01_076M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Construction"
"S0502_C01_077E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Manufacturing"
"S0502_C01_077M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Manufacturing"
"S0502_C01_078E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Wholesale trade"
"S0502_C01_078M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Wholesale trade"
"S0502_C01_079E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Retail trade"
"S0502_C01_079M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Retail trade"
"S0502_C01_080E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Transportation and warehousing, and utilities"
"S0502_C01_080M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Transportation and warehousing, and utilities"
"S0502_C01_081E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Information"
"S0502_C01_081M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Information"
"S0502_C01_082E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing"
"S0502_C01_082M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing"
"S0502_C01_083E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services"
"S0502_C01_083M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services"
"S0502_C01_084E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Educational services, and health care and social assistance"
"S0502_C01_084M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Educational services, and health care and social assistance"
"S0502_C01_085E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services"
"S0502_C01_085M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services"
"S0502_C01_086E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Other services (except public administration)"
"S0502_C01_086M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Other services (except public administration)"
"S0502_C01_087E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Public administration"
"S0502_C01_087M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Public administration"
"S0502_C01_088E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings"
"S0502_C01_088M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings"
"S0502_C01_089E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$1 to $9,999 or loss"
"S0502_C01_089M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$1 to $9,999 or loss"
"S0502_C01_090E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$10,000 to $14,999"
"S0502_C01_090M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$10,000 to $14,999"
"S0502_C01_091E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$15,000 to $24,999"
"S0502_C01_091M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$15,000 to $24,999"
"S0502_C01_092E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$25,000 to $34,999"
"S0502_C01_092M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$25,000 to $34,999"
"S0502_C01_093E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$35,000 to $49,999"
"S0502_C01_093M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$35,000 to $49,999"
"S0502_C01_094E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$50,000 to $74,999"
"S0502_C01_094M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$50,000 to $74,999"
"S0502_C01_095E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$75,000 or more"
"S0502_C01_095M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$75,000 or more"
"S0502_C01_096E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!Median earnings (dollars) for full-time, year-round workers:!!Male"
"S0502_C01_096M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!Median earnings (dollars) for full-time, year-round workers:!!Male"
"S0502_C01_097E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!Median earnings (dollars) for full-time, year-round workers:!!Female"
"S0502_C01_097M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!Median earnings (dollars) for full-time, year-round workers:!!Female"
"S0502_C01_098E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households"
"S0502_C01_098M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households"
"S0502_C01_099E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings"
"S0502_C01_099M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings"
"S0502_C01_100E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings!!Mean earnings (dollars)"
"S0502_C01_100M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings!!Mean earnings (dollars)"
"S0502_C01_101E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income"
"S0502_C01_101M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income"
"S0502_C01_102E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income!!Mean Social Security income (dollars)"
"S0502_C01_102M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income!!Mean Social Security income (dollars)"
"S0502_C01_103E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income"
"S0502_C01_103M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income"
"S0502_C01_104E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income!!Mean Supplemental Security Income (dollars)"
"S0502_C01_104M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income!!Mean Supplemental Security Income (dollars)"
